,Feature,Definition,Score,CR.Mean,NonCR.mean,pvalue,padjust,
500,REACTOME.114,GLI3.is.processed.to.GLI3R.by.the.proteasome,21.512,0% {0/110},0.02% {17/876},3.48E-05,0.0498684,
501,REACTOME.46,Signaling.by.Nuclear.Receptors,21.512,0.07% {8/110},0.03% {30/876},0.136,1,
502,IPAVS.3,GP130_JAK_STAT,21.512,0.02% {2/110},0.04% {34/876},0.153,1,
503,INOH.21,TLR.p38,21.512,0% {0/110},0.02% {16/876},5.94E-05,0.0851202,
504,IPAVS.8,acute_Myeloid_leukemia_Signaling,21.512,0.03% {3/110},0.01% {13/876},0.442,1,
505,KEGG.131,B.cell.receptor.signaling,21.512,0.01% {1/110},0.02% {15/876},0.427,1,
506,ACSN2.12,GLUCOSE_METABOLISM,21.512,0.08% {9/110},0.03% {29/876},0.073,1,
507,WikiPathways.75,PPAR.signaling,21.512,0.01% {1/110},0.02% {15/876},0.427,1,
508,WikiPathways.74,Non.genomic.actions.of.1.25.dihydroxyvitamin.D3,21.512,0.01% {1/110},0.02% {15/876},0.427,1,
509,WikiPathways.72,ESC.Pluripotency,21.512,0.02% {2/110},0.02% {14/876},0.871,1,
510,WikiPathways.71,Apoptosis.related.network.due.to.altered.Notch3.in.ovarian.cancer,21.512,0.03% {3/110},0.01% {13/876},0.442,1,
511,KEGG.23,cGMP.PKG.signaling,21.512,0.08% {9/110},0.04% {33/876},0.105,1,
512,Spike.5,MAPK.signaling,21.512,0.03% {3/110},0.01% {13/876},0.442,1,
513,SMPDB.13,Pyruvate.dehydrogenase.deficiency..E3.,21.512,0.02% {2/110},0.02% {14/876},0.871,1,
514,SMPDB.11,Mitochondrial.complex.II.deficiency,21.512,0.02% {2/110},0.02% {14/876},0.871,1,
515,SMPDB.10,Fumarase.deficiency,21.512,0.02% {2/110},0.02% {14/876},0.871,1,
516,SMPDB.8,Citric.Acid.Cycle,21.512,0.02% {2/110},0.02% {14/876},0.871,1,
517,SMPDB.7,2.ketoglutarate.dehydrogenase.complex.deficiency,21.512,0.02% {2/110},0.02% {14/876},0.871,1,
518,ACSN2.10,MOMP_REGULATION,21.512,0.05% {6/110},0.04% {34/876},0.49,1,
519,REACTOME.131,Toll.Like.Receptor.9..TLR9..Cascade,21.512,0.02% {2/110},0.02% {14/876},0.871,1,
520,REACTOME.125,Citric.acid.cycle..TCA.cycle.,21.512,0.01% {1/110},0.02% {15/876},0.427,1,
521,REACTOME.124,APC.C.mediated.degradation.of.cell.cycle.proteins,21.512,0% {0/110},0.02% {16/876},5.94E-05,0.0851202,
522,Panther_Pathway.24,p53_pathway_feedback_loops_2,21.512,0.02% {2/110},0.02% {14/876},0.871,1,
523,Panther_Pathway.22,Metabotropic_glutamate_receptor_group_III,21.512,0.03% {3/110},0.01% {13/876},0.442,1,
524,Panther_Pathway.21,5HT1_type_receptor_mediated_signaling,21.512,0.04% {4/110},0.01% {12/876},0.219,1,
525,Panther_Pathway,CCKR_signaling_map,21.512,0.03% {3/110},0.04% {37/876},0.381,1,
526,PID.21,CDC42.signaling.events,21.512,0.02% {2/110},0.02% {14/876},0.871,1,
527,KEGG.136,Type.II.diabetes.mellitus,21.512,0.05% {6/110},0.01% {10/876},0.053,1,
528,KEGG.135,Shigellosis,21.512,0.01% {1/110},0.02% {15/876},0.427,1,
529,KEGG.134,Phosphatidylinositol.signaling.system,21.512,0.02% {2/110},0.02% {14/876},0.871,1,
530,PID.20,Signaling.events.mediated.by.Hepatocyte.Growth.Factor.Receptor..c.Met.,21.512,0.04% {4/110},0.01% {13/876},0.244,1,
531,NetPath.14,CRH,21.512,0.04% {4/110},0.01% {10/876},0.175,1,
532,REACTOME.96,Downstream.signaling.events.of.B.Cell.Receptor..BCR.,21.512,0% {0/110},0.02% {19/876},1.19E-05,0.0170527,
533,INOH.12,Citrate.cycle,21.512,0.02% {2/110},0.02% {16/876},0.995,1,
534,Panther_Pathway.16,Heterotrimeric_G_protein_signaling_pathway_Gq_and_Go_mediated,21.512,0.05% {5/110},0.01% {13/876},0.135,1,
535,PID.19,p73.transcription.factor.network,21.512,0.02% {2/110},0.02% {16/876},0.995,1,
536,KEGG.38,Retrograde.endocannabinoid.signaling,21.512,0.06% {7/110},0.03% {27/876},0.176,1,
537,PID.17,S1P2,21.512,0.11% {12/110},0.01% {6/876},9.09E-04,1,
538,REACTOME.53,TP53.Regulates.Metabolic.Genes,21.512,0.1% {11/110},0.03% {23/876},0.013,1,
539,PID.15,CXCR4.mediated.signaling.events,21.512,0.07% {8/110},0.01% {10/876},0.016,1,
540,KEGG.123,VEGF.signaling,21.512,0.01% {1/110},0.02% {17/876},0.314,1,
541,KEGG.122,Long.term.potentiation,21.512,0.01% {1/110},0.02% {17/876},0.314,1,
542,KEGG.121,Gastric.acid.secretion,21.512,0.05% {5/110},0.01% {10/876},0.096,1,
543,KEGG.120,Cardiac.muscle.contraction,21.512,0.02% {2/110},0.02% {16/876},0.995,1,
544,KEGG.119,Acute.myeloid.leukemia,21.512,0.03% {3/110},0.02% {15/876},0.532,1,
545,BioCarta.1,signaling.pathway.from.g.protein.families,21.512,0.02% {2/110},0.01% {13/876},0.804,1,
546,KEGG.130,Vasopressin.regulated.water.reabsorption,21.512,0.03% {3/110},0.01% {11/876},0.361,1,
547,stke.4,Mitochondrial.Pathway.of.Apoptosis..BH3.only.Bcl.2.Family,21.512,0.02% {2/110},0.02% {17/876},0.928,1,
548,WikiPathways.55,One.carbon.metabolism.and.related,21.512,0.05% {6/110},0.01% {13/876},0.075,1,
549,WikiPathways.54,Metabolic.reprogramming.in.colon.cancer,21.512,0.05% {5/110},0.02% {14/876},0.151,1,
550,WikiPathways.53,Ebola.Virus.Pathway.on.Host,21.512,0.04% {4/110},0.02% {15/876},0.299,1,
551,SMPDB.3,The.oncogenic.action.of.L.2.hydroxyglutarate.in..Hydroxygluaricaciduria,21.512,0.03% {3/110},0.02% {16/876},0.58,1,
552,SMPDB.2,The.oncogenic.action.of.D.2.hydroxyglutarate.in..Hydroxygluaricaciduria,21.512,0.03% {3/110},0.02% {16/876},0.58,1,
553,SIGNOR2.0.2,SIGNOR.AMPK,21.512,0.08% {9/110},0.01% {10/876},0.009,1,
554,KEGG.39,Calcium.signaling,21.512,0.05% {5/110},0.03% {25/876},0.416,1,
555,REACTOME.102,Respiratory.electron.transport,21.512,0.03% {3/110},0.02% {16/876},0.58,1,
556,REACTOME.100,Regulation.of.insulin.secretion,21.512,0.08% {9/110},0.01% {10/876},0.009,1,
557,REACTOME.55,PTEN.Regulation,21.512,0.05% {6/110},0.03% {27/876},0.294,1,
558,ACSN2.15,TCR_SIGNALING,21.512,0.04% {4/110},0.03% {30/876},0.911,1,
559,WikiPathways.12,EGF.EGFR.Signaling,21.512,0.04% {4/110},0.04% {31/876},0.959,1,
560,Panther_Pathway.17,Metabotropic_glutamate_receptor_group_II,21.512,0.05% {5/110},0.01% {13/876},0.135,1,
561,Panther_Pathway.18,VEGF_signaling,21.512,0.02% {2/110},0.02% {16/876},0.995,1,
562,KEGG.128,Synaptic.vesicle.cycle,21.512,0.03% {3/110},0.02% {14/876},0.486,1,
563,INOH.32,CD4.T.cell.receptor.signaling.ERK.cascade,21.512,0% {0/110},0.01% {10/876},0.002,1,
564,SignaLink2.0,RTK.core.,21.512,0.03% {3/110},0.04% {33/876},0.539,1,
565,INOH.16,Purine.nucleotides.nucleosides.metabolism,21.512,0.02% {2/110},0.02% {15/876},0.938,1,
566,INOH.13,CD4.T.cell.receptor.signaling.NFkB.cascade,21.512,0.01% {1/110},0.02% {16/876},0.368,1,
567,EHMN.6,Tyrosine.metabolism,21.512,0.01% {1/110},0.02% {16/876},0.368,1,
568,BioCarta.5,regulation.of.eif.4e.and.p70s6.kinase,21.512,0.04% {4/110},0.01% {13/876},0.244,1,
569,BioCarta.3,mtor.signaling,21.512,0.05% {6/110},0.01% {11/876},0.06,1,
570,ACSN2.23,SENESCENCE,21.512,0.03% {3/110},0.02% {14/876},0.486,1,
571,stke.6,Neuro2A.Differentiation.by.G.alpha.i.o.Pathway,21.512,0.04% {4/110},0.02% {14/876},0.271,1,
572,stke.5,Myocyte.Adrenergic.Pathway,21.512,0.05% {5/110},0.01% {13/876},0.135,1,
573,KEGG.34,Dopaminergic.synapse,21.512,0.06% {7/110},0.03% {25/876},0.147,1,
574,WikiPathways.63,Target.Of.Rapamycin..TOR..Signaling,21.512,0.07% {8/110},0.01% {10/876},0.016,1,
575,WikiPathways.58,MET.in.type.1.papillary.renal.cell.carcinoma,21.512,0.01% {1/110},0.02% {17/876},0.314,1,
576,REACTOME.49,Axon.guidance,21.512,0.02% {2/110},0.04% {33/876},0.175,1,
577,SMPDB.6,The.oncogenic.action.of.Succinate,21.512,0.02% {2/110},0.02% {16/876},0.995,1,
578,SMPDB.5,The.oncogenic.action.of.Fumarate,21.512,0.02% {2/110},0.02% {16/876},0.995,1,
579,SMPDB.4,The.oncogenic.action.of.2.hydroxyglutarate,21.512,0.02% {2/110},0.02% {16/876},0.995,1,
580,REACTOME.110,mTOR.signalling,21.512,0.07% {8/110},0.01% {10/876},0.016,1,
581,REACTOME.107,Oncogenic.MAPK.signaling,21.512,0.01% {1/110},0.02% {17/876},0.314,1,
582,REACTOME.106,Detoxification.of.Reactive.Oxygen.Species,21.512,0.05% {6/110},0.01% {12/876},0.067,1,
583,REACTOME.104,Apoptosis,21.512,0% {0/110},0.02% {18/876},2.03E-05,0.0290899,
584,PharmGKB.2,EGFR_Inhibitor_Pathway_Pharmacodynamics,21.512,0.01% {1/110},0.02% {17/876},0.314,1,
585,HumanCyc.4,superpathway.of.tryptophan.utilization,21.512,0.01% {1/110},0.01% {9/876},0.903,1,
586,PID.47,Validated.targets.of.C.MYC.transcriptional.activation,21.512,0.03% {3/110},0.01% {9/876},0.289,1,
587,INOH.33,GPCR.GroupI.metabotropic.glutamate.receptor,21.512,0.01% {1/110},0.01% {9/876},0.903,1,
588,PharmGKB.13,Diuretics_Pathway_Pharmacodynamics,21.512,0.01% {1/110},0.01% {6/876},0.814,1,
589,PID.86,S1P1,21.512,0.05% {5/110},0% {2/876},0.033,1,
590,Panther_Pathway.48,Adrenaline_synthesis,21.512,0% {0/110},0.01% {7/876},0.008,1,
591,Panther_Pathway.49,Alpha_adrenergic_receptor_signaling,21.512,0.01% {1/110},0.01% {6/876},0.814,1,
592,Panther_Pathway.50,De_novo_purine_biosynthesis,21.512,0.01% {1/110},0.01% {6/876},0.814,1,
593,Panther_Pathway.52,Hedgehog_signaling,21.512,0% {0/110},0.01% {7/876},0.008,1,
594,Panther_Pathway.53,Opioid_Proenkephalin,21.512,0.03% {3/110},0% {4/876},0.153,1,
595,PharmGKB.14,Valproic_Acid_Pathway_Pharmacodynamics,21.512,0.01% {1/110},0.01% {6/876},0.814,1,
596,PID.84,Osteopontin.mediated.events,21.512,0.01% {1/110},0.01% {6/876},0.814,1,
597,REACTOME.291,Activation.of.BH3.only.proteins,21.512,0% {0/110},0.01% {7/876},0.008,1,
598,REACTOME.292,Activation.of.the.AP.1.family.of.transcription.factors,21.512,0% {0/110},0.01% {7/876},0.008,1,
599,REACTOME.294,CREB1.phosphorylation.through.the.activation.of.Adenylate.Cyclase,21.512,0% {0/110},0.01% {7/876},0.008,1,
600,REACTOME.296,Gastrin.CREB.signalling.pathway.via.PKC.and.MAPK,21.512,0.01% {1/110},0.01% {6/876},0.814,1,
601,REACTOME.297,Interactions.of.Vpr.with.host.cellular.proteins,21.512,0% {0/110},0.01% {7/876},0.008,1,
602,REACTOME.298,PI3K.Cascade,21.512,0.02% {2/110},0.01% {5/876},0.341,1,
603,PID.85,PAR4.mediated.thrombin.signaling.events,21.512,0.05% {5/110},0% {2/876},0.033,1,
604,PID.83,EPO.signaling,21.512,0% {0/110},0.01% {7/876},0.008,1,
605,WikiPathways.144,Serotonin.Receptor.2.and.ELK.SRF.GATA4.signaling,21.512,0.01% {1/110},0.01% {8/876},0.997,1,
606,BioCarta.62,role.of.mal.in.rho.mediated.activation.of.srf,21.512,0% {0/110},0.01% {7/876},0.008,1,
607,BioCarta.54,atm.signaling,21.512,0% {0/110},0.01% {7/876},0.008,1,
608,BioCarta.55,erk.and.pi.3.kinase.are.necessary.for.collagen.binding.in.corneal.epithelia,21.512,0.01% {1/110},0.01% {6/876},0.814,1,
609,BioCarta.56,il.6.signaling,21.512,0% {0/110},0.01% {7/876},0.008,1,
610,BioCarta.57,insulin.signaling,21.512,0.03% {3/110},0% {4/876},0.153,1,
611,BioCarta.59,pten.dependent.cell.cycle.arrest.and.apoptosis,21.512,0.01% {1/110},0.01% {6/876},0.814,1,
612,INOH.34,Glutamate.Glutamine.metabolism,21.512,0.04% {4/110},0.01% {6/876},0.107,1,
613,BioCarta.63,tpo.signaling,21.512,0.01% {1/110},0.01% {6/876},0.814,1,
614,PID.81,Alpha4.beta1.integrin.signaling.events,21.512,0% {0/110},0.01% {7/876},0.008,1,
615,KEGG.172,Arginine.biosynthesis,21.512,0.02% {2/110},0.01% {5/876},0.341,1,
616,KEGG.174,DNA.replication,21.512,0% {0/110},0.01% {7/876},0.008,1,
617,KEGG.175,One.carbon.pool.by.folate,21.512,0% {0/110},0.01% {7/876},0.008,1,
618,NetPath.27,TWEAK,21.512,0.01% {1/110},0.01% {6/876},0.814,1,
619,OntoCancro.5,Homologous.recombination..HR.,21.512,0% {0/110},0.01% {7/876},0.008,1,
620,PID.80,ATM,21.512,0% {0/110},0.01% {7/876},0.008,1,
621,REACTOME.299,Plasma.lipoprotein.clearance,21.512,0% {0/110},0.01% {7/876},0.008,1,
622,REACTOME.300,Post.NMDA.receptor.activation.events,21.512,0% {0/110},0.01% {7/876},0.008,1,
623,REACTOME.301,Prolactin.receptor.signaling,21.512,0.01% {1/110},0.01% {6/876},0.814,1,
624,BioCarta.67,ctcf..first.multivalent.nuclear.factor,21.512,0.02% {2/110},0% {4/876},0.297,1,
625,WikiPathways.173,Transcription.factor.regulation.in.adipogenesis,21.512,0.02% {2/110},0.01% {5/876},0.341,1,
626,stke.25,Seven.Transmembrane.Receptor.Signaling.Through.beta.Arrestin,21.512,0% {0/110},0.01% {7/876},0.008,1,
627,stke.26,p38.MAPK.Pathway,21.512,0.01% {1/110},0.01% {6/876},0.814,1,
628,ACSN2.36,PENTOSE_PHOSPHATE,21.512,0.02% {2/110},0% {4/876},0.297,1,
629,BioCarta.64,akt.signaling,21.512,0.02% {2/110},0% {4/876},0.297,1,
630,BioCarta.65,b.cell.survival,21.512,0.02% {2/110},0% {4/876},0.297,1,
631,BioCarta.68,endocytotic.role.of.ndk.phosphins.and.dynamin,21.512,0% {0/110},0.01% {6/876},0.014,1,
632,REACTOME.302,Pyruvate.metabolism,21.512,0.01% {1/110},0.01% {6/876},0.814,1,
633,BioCarta.69,er.associated.degradation..erad.,21.512,0% {0/110},0.01% {6/876},0.014,1,
634,BioCarta.71,il.4.signaling,21.512,0% {0/110},0.01% {6/876},0.014,1,
635,BioCarta.72,phosphoinositides.and.their.downstream.targets,21.512,0.01% {1/110},0.01% {5/876},0.721,1,
636,BioCarta.73,rho.selective.guanine.exchange.factor.akap13.mediates.stress.fiber.formation,21.512,0.01% {1/110},0.01% {5/876},0.721,1,
637,BioCarta.74,stat3.signaling,21.512,0.01% {1/110},0.01% {5/876},0.721,1,
638,BioCarta.75,stathmin.and.breast.cancer.resistance.to.antimicrotubule.agents,21.512,0% {0/110},0.01% {6/876},0.014,1,
639,WikiPathways.172,TGF.B.Signaling.in.Thyroid.Cells.for.Epithelial.Mesenchymal.Transition,21.512,0% {0/110},0.01% {7/876},0.008,1,
640,WikiPathways.168,Neovascularisation.processes,21.512,0% {0/110},0.01% {7/876},0.008,1,
641,WikiPathways.167,Melatonin.metabolism.and.effects,21.512,0.01% {1/110},0.01% {6/876},0.814,1,
642,WikiPathways.166,Intraflagellar.transport.proteins.binding.to.dynein,21.512,0% {0/110},0.01% {7/876},0.008,1,
643,WikiPathways.165,IL.9.Signaling,21.512,0% {0/110},0.01% {7/876},0.008,1,
644,WikiPathways.164,Hereditary.leiomyomatosis.and.renal.cell.carcinoma,21.512,0.02% {2/110},0.01% {5/876},0.341,1,
645,WikiPathways.163,Canonical.and.Non.Canonical.TGF.B.signaling,21.512,0% {0/110},0.01% {7/876},0.008,1,
646,Spike.12,Mismatch.repair,21.512,0% {0/110},0.01% {7/876},0.008,1,
647,SignaLink2.0.4,WNT.Wingless.non.core.,21.512,0.02% {2/110},0.01% {5/876},0.341,1,
648,SMPDB.113,Nicotine.Action.Pathway,21.512,0.01% {1/110},0.01% {6/876},0.814,1,
649,REACTOME.310,Triglyceride.metabolism,21.512,0.01% {1/110},0.01% {6/876},0.814,1,
650,REACTOME.309,Thromboxane.signalling.through.TP.receptor,21.512,0.05% {5/110},0% {2/876},0.033,1,
651,REACTOME.307,Smooth.Muscle.Contraction,21.512,0% {0/110},0.01% {7/876},0.008,1,
652,REACTOME.306,Signaling.by.FGFR4,21.512,0.01% {1/110},0.01% {6/876},0.814,1,
653,REACTOME.305,Signaling.by.FGFR3,21.512,0.01% {1/110},0.01% {6/876},0.814,1,
654,REACTOME.304,Signal.transduction.by.L1,21.512,0% {0/110},0.01% {7/876},0.008,1,
655,REACTOME.303,Regulation.of.TP53.Activity.through.Acetylation,21.512,0.02% {2/110},0.01% {5/876},0.341,1,
656,ACSN2.34,GROWTH_FACTORS_SIGNALING,21.512,0.01% {1/110},0.01% {6/876},0.814,1,
657,stke.23,PAC1.Receptor.Pathway,21.512,0.03% {3/110},0.01% {5/876},0.175,1,
658,stke.20,G.alpha.13.Pathway,21.512,0.01% {1/110},0.01% {7/876},0.909,1,
659,PID.79,VEGFR1.specific.signals,21.512,0.01% {1/110},0.01% {7/876},0.909,1,
660,IPAVS.14,Cross_talk_between_the_PI3K_Akt_and_JAK_STAT_pathways_in_acute_opioid_induced_cardioprotection,21.512,0.02% {2/110},0.01% {6/876},0.389,1,
661,IPAVS.15,Regulation.of.BetaAR.turnover.via.desensitization.and.sequestration.mechanism,21.512,0% {0/110},0.01% {5/876},0.025,1,
662,PID.75,Arf6.signaling.events,21.512,0.04% {4/110},0% {4/876},0.081,1,
663,PID.76,IL8..and.CXCR1.mediated.signaling.events,21.512,0.04% {4/110},0% {4/876},0.081,1,
664,PID.77,Insulin.mediated.glucose.transport,21.512,0.02% {2/110},0.01% {6/876},0.389,1,
665,PID.78,Signaling.events.mediated.by.HDAC.Class.III,21.512,0.02% {2/110},0.01% {6/876},0.389,1,
666,Panther_Pathway.43,Cortocotropin_releasing_factor_receptor_signaling,21.512,0.04% {4/110},0% {4/876},0.081,1,
667,REACTOME.268,Dual.Incision.in.GG.NER,21.512,0% {0/110},0.01% {8/876},0.005,1,
668,Panther_Pathway.44,Opioid_prodynorphin,21.512,0.04% {4/110},0% {4/876},0.081,1,
669,Panther_Pathway.46,Oxidative_stress_response,21.512,0.01% {1/110},0.01% {7/876},0.909,1,
670,PharmGKB.10,Anti_diabetic_Drug_Potassium_Channel_Inhibitors_Pathway_Pharmacodynamics,21.512,0.04% {4/110},0% {4/876},0.081,1,
671,PharmGKB.11,Doxorubicin_Pathway_Pharmacokinetics,21.512,0.02% {2/110},0.01% {6/876},0.389,1,
672,PharmGKB.12,Tacrolimus_Cyclosporine_Pathway_Pharmacodynamics,21.512,0% {0/110},0.01% {8/876},0.005,1,
673,REACTOME.265,Activation.of.GABAB.receptors,21.512,0.05% {6/110},0% {2/876},0.018,1,
674,INOH.42,Inositol.phosphate.metabolism,21.512,0.02% {2/110},0.01% {6/876},0.389,1,
675,INOH.41,Fas,21.512,0% {0/110},0.01% {8/876},0.005,1,
676,HumanCyc.8,superoxide.radicals.degradation,21.512,0.02% {2/110},0.01% {6/876},0.389,1,
677,EHMN.20,Omega.3.fatty.acid.metabolism,21.512,0% {0/110},0.01% {8/876},0.005,1,
678,EHMN.19,N.Glycan.biosynthesis,21.512,0.01% {1/110},0.01% {7/876},0.909,1,
679,BioCarta.53,vegf.hypoxia.and.angiogenesis,21.512,0.01% {1/110},0.01% {7/876},0.909,1,
680,BioCarta.52,sprouty.regulation.of.tyrosine.kinase.signals,21.512,0% {0/110},0.01% {8/876},0.005,1,
681,BioCarta.51,phosphorylation.of.mek1.by.cdk5.p35.down.regulates.the.map.kinase,21.512,0% {0/110},0.01% {8/876},0.005,1,
682,BioCarta.50,multiple.antiapoptotic.pathways.from.igf.1r.signaling.lead.to.bad.phosphorylation,21.512,0.02% {2/110},0.01% {6/876},0.389,1,
683,BioCarta.49,map.kinase.inactivation.of.smrt.corepressor,21.512,0% {0/110},0.01% {8/876},0.005,1,
684,BioCarta.48,integrin.signaling,21.512,0% {0/110},0.01% {8/876},0.005,1,
685,BioCarta.47,human.cytomegalovirus.and.map.kinase,21.512,0.01% {1/110},0.01% {7/876},0.909,1,
686,BioCarta.46,erk1.erk2.mapk.signaling,21.512,0% {0/110},0.01% {8/876},0.005,1,
687,ACSN2.33,GLUTAMINE_METABOLISM,21.512,0.03% {3/110},0.01% {5/876},0.175,1,
688,stke.18,Natural.Killer.Cell.Receptor.Signaling.Pathway,21.512,0% {0/110},0.01% {8/876},0.005,1,
689,stke.17,B.Cell.Antigen.Receptor,21.512,0.01% {1/110},0.01% {8/876},0.997,1,
690,WikiPathways.147,Type.II.diabetes.mellitus,21.512,0.04% {4/110},0.01% {5/876},0.093,1,
691,REACTOME.266,Bile.acid.and.bile.salt.metabolism,21.512,0% {0/110},0.01% {8/876},0.005,1,
692,REACTOME.270,Glyoxylate.metabolism.and.glycine.degradation,21.512,0.02% {2/110},0.01% {6/876},0.389,1,
693,stke.19,G.alpha.12.Pathway,21.512,0.01% {1/110},0.01% {7/876},0.909,1,
694,WikiPathways.154,Leptin.Insulin.Overlap,21.512,0.01% {1/110},0.01% {7/876},0.909,1,
695,SMPDB.102,Homocarnosinosis,21.512,0.04% {4/110},0% {4/876},0.081,1,
696,SMPDB.103,Hyperglycinemia..non.ketotic,21.512,0.02% {2/110},0.01% {6/876},0.389,1,
697,SMPDB.106,Methylenetetrahydrofolate.Reductase.Deficiency..MTHFRD.,21.512,0.03% {3/110},0.01% {5/876},0.175,1,
698,SMPDB.109,Phosphatidylinositol.Phosphate.Metabolism,21.512,0.03% {3/110},0.01% {5/876},0.175,1,
699,WikiPathways.150,Fatty.Acid.Beta.Oxidation,21.512,0.01% {1/110},0.01% {7/876},0.909,1,
700,WikiPathways.152,IL17.signaling,21.512,0.01% {1/110},0.01% {7/876},0.909,1,
701,WikiPathways.155,NRF2.ARE.regulation,21.512,0.03% {3/110},0.01% {5/876},0.175,1,
702,REACTOME.271,Homologous.DNA.Pairing.and.Strand.Exchange,21.512,0% {0/110},0.01% {8/876},0.005,1,
703,WikiPathways.156,Neural.Crest.Cell.Migration.during.Development,21.512,0.01% {1/110},0.01% {7/876},0.909,1,
704,WikiPathways.157,Neural.Crest.Cell.Migration.in.Cancer,21.512,0.01% {1/110},0.01% {7/876},0.909,1,
705,WikiPathways.158,Oxidative.Stress,21.512,0.03% {3/110},0.01% {5/876},0.175,1,
706,WikiPathways.159,Serotonin.Receptor.4.6.7.and.NR3C.Signaling,21.512,0% {0/110},0.01% {5/876},0.025,1,
707,WikiPathways.161,The.effect.of.progerin.on.the.involved.genes.in.Hutchinson.Gilford.Progeria.Syndrome,21.512,0.02% {2/110},0.01% {6/876},0.389,1,
708,WikiPathways.162,Vitamin.A.and.Carotenoid.Metabolism,21.512,0% {0/110},0.01% {8/876},0.005,1,
709,SMPDB.99,Dimethylglycine.Dehydrogenase.Deficiency,21.512,0.02% {2/110},0.01% {6/876},0.389,1,
710,SMPDB.98,Dihydropyrimidine.Dehydrogenase.Deficiency..DHPD.,21.512,0.02% {2/110},0.01% {6/876},0.389,1,
711,SMPDB.96,3.Phosphoglycerate.dehydrogenase.deficiency,21.512,0.02% {2/110},0.01% {6/876},0.389,1,
712,SMPDB.95,2.Hydroxyglutric.Aciduria..D.And.L.Form.,21.512,0.04% {4/110},0% {4/876},0.081,1,
713,REACTOME.287,Transferrin.endocytosis.and.recycling,21.512,0.03% {3/110},0.01% {5/876},0.175,1,
714,REACTOME.286,Transcriptional.Regulation.by.MECP2,21.512,0.02% {2/110},0.01% {6/876},0.389,1,
715,REACTOME.285,Synthesis.of.bile.acids.and.bile.salts.via.7alpha.hydroxycholesterol,21.512,0% {0/110},0.01% {8/876},0.005,1,
716,REACTOME.284,Synthesis.of.bile.acids.and.bile.salts,21.512,0% {0/110},0.01% {8/876},0.005,1,
717,REACTOME.282,Regulation.of.TP53.Expression.and.Degradation,21.512,0.01% {1/110},0.01% {7/876},0.909,1,
718,REACTOME.281,Regulation.of.TP53.Degradation,21.512,0.01% {1/110},0.01% {7/876},0.909,1,
719,REACTOME.280,RET.signaling,21.512,0.02% {2/110},0.01% {6/876},0.389,1,
720,REACTOME.278,Presynaptic.phase.of.homologous.DNA.pairing.and.strand.exchange,21.512,0% {0/110},0.01% {8/876},0.005,1,
721,REACTOME.277,PKA.mediated.phosphorylation.of.CREB,21.512,0.01% {1/110},0.01% {7/876},0.909,1,
722,REACTOME.276,PKA.activation.in.glucagon.signalling,21.512,0.01% {1/110},0.01% {7/876},0.909,1,
723,REACTOME.275,PKA.activation,21.512,0.01% {1/110},0.01% {7/876},0.909,1,
724,REACTOME.274,Negative.regulation.of.MAPK,21.512,0% {0/110},0.01% {8/876},0.005,1,
725,REACTOME.272,MAPK.targets..Nuclear.events.mediated.by.MAP.kinases,21.512,0.01% {1/110},0.01% {7/876},0.909,1,
726,BioCarta.77,thrombin.signaling.and.protease.activated.receptors,21.512,0.05% {5/110},0% {1/876},0.029,1,
727,BioCarta.78,transcription.regulation.by.methyltransferase.of.carm1,21.512,0% {0/110},0.01% {6/876},0.014,1,
728,BioCarta.79,trka.receptor.signaling,21.512,0.01% {1/110},0.01% {5/876},0.721,1,
729,PharmGKB.24,Doxorubicin_Pathway_Cancer_Cell_Pharmacodynamics,21.512,0.01% {1/110},0% {4/876},0.63,1,
730,PID.93,EGFR.dependent.Endothelin.signaling.events,21.512,0.01% {1/110},0% {4/876},0.63,1,
731,PID.94,p38.signaling.mediated.by.MAPKAP.kinases,21.512,0.01% {1/110},0% {4/876},0.63,1,
732,Panther_Pathway.56,Nicotine_degradation,21.512,0.01% {1/110},0% {4/876},0.63,1,
733,Panther_Pathway.57,Pyruvate_metabolism,21.512,0.01% {1/110},0% {4/876},0.63,1,
734,PharmGKB.22,Caffeine_Pathway_Pharmacokinetics,21.512,0% {0/110},0.01% {5/876},0.025,1,
735,PharmGKB.23,Cyclophosphamide_Pathway_Pharmacodynamics,21.512,0% {0/110},0.01% {5/876},0.025,1,
736,PharmGKB.25,Ifosfamide_Pathway_Pharmacodynamics,21.512,0% {0/110},0.01% {5/876},0.025,1,
737,REACTOME.353,HSF1.activation,21.512,0% {0/110},0.01% {5/876},0.025,1,
738,REACTOME.344,Association.of.TriC.CCT.with.target.proteins.during.biosynthesis,21.512,0% {0/110},0.01% {5/876},0.025,1,
739,REACTOME.345,Attenuation.phase,21.512,0% {0/110},0.01% {5/876},0.025,1,
740,REACTOME.346,DSCAM.interactions,21.512,0% {0/110},0.01% {5/876},0.025,1,
741,REACTOME.347,Downregulation.of.TGF.beta.receptor.signaling,21.512,0% {0/110},0.01% {5/876},0.025,1,
742,REACTOME.348,Downstream.signaling.of.activated.FGFR3,21.512,0.01% {1/110},0% {4/876},0.63,1,
743,REACTOME.350,Estrogen.stimulated.signaling.through.PRKCZ,21.512,0% {0/110},0.01% {5/876},0.025,1,
744,OntoCancro.6,Non.homologous.end.joining,21.512,0% {0/110},0.01% {5/876},0.025,1,
