"","Feature","Definition","Score","CR.Mean","NonCR.mean","pvalue","padjust"
"513","GO:0055064","chloride ion homeostasis",1.117,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"514","GO:0032436","positive regulation of proteasomal ubiquitin-dependent protein catabolic process",1.117,"0.88% {1/114}","1.09% {11/1010}",0.5,1
"515","GO:0043588","skin development",1.115,"0.88% {1/114}","0.59% {6/1010}",0.5,1
"516","GO:0014070","response to organic cyclic compound",1.115,"0.88% {1/114}","1.19% {12/1010}",0.5,1
"517","GO:0061732","mitochondrial acetyl-CoA biosynthetic process from pyruvate",1.114,"0% {0/114}","0.3% {3/1010}",0.5,1
"518","GO:0032872","regulation of stress-activated MAPK cascade",1.104,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"519","GO:0006636","unsaturated fatty acid biosynthetic process",1.102,"0% {0/114}","0.69% {7/1010}",0.604,1
"520","GO:0031647","regulation of protein stability",1.1,"0% {0/114}","1.39% {14/1010}",0.794,1
"521","GO:0009913","epidermal cell differentiation",1.1,"1.75% {2/114}","0.1% {1/1010}",0.011,1
"522","GO:0035924","cellular response to vascular endothelial growth factor stimulus",1.098,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"523","GO:0042908","xenobiotic transport",1.097,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"524","GO:0015949","nucleobase-containing small molecule interconversion",1.095,"0% {0/114}","0.4% {4/1010}",0.5,1
"525","GO:0110095","cellular detoxification of aldehyde",1.092,"0% {0/114}","0.3% {3/1010}",0.5,1
"526","GO:0006622","protein targeting to lysosome",1.092,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"527","GO:0009749","response to glucose",1.092,"0.88% {1/114}","0.89% {9/1010}",0.5,1
"528","GO:0043949","regulation of cAMP-mediated signaling",1.09,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"529","GO:0006626","protein targeting to mitochondrion",1.088,"0% {0/114}","0.99% {10/1010}",0.706,1
"530","GO:0055093","response to hyperoxia",1.084,"2.63% {3/114}","0.4% {4/1010}",0.012,1
"531","GO:0009116","nucleoside metabolic process",1.081,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"532","GO:0006693","prostaglandin metabolic process",1.078,"0.88% {1/114}","0.69% {7/1010}",0.5,1
"533","GO:0006418","tRNA aminoacylation for protein translation",1.077,"0% {0/114}","1.09% {11/1010}",0.732,1
"534","GO:0071560","cellular response to transforming growth factor beta stimulus",1.076,"1.75% {2/114}","0.59% {6/1010}",0.209,1
"535","GO:0055074","calcium ion homeostasis",1.075,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"536","GO:0034644","cellular response to UV",1.068,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"537","GO:0045765","regulation of angiogenesis",1.058,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"538","GO:0009058","biosynthetic process",1.055,"0% {0/114}","0.69% {7/1010}",0.604,1
"539","GO:0090201","negative regulation of release of cytochrome c from mitochondria",1.051,"0% {0/114}","0.89% {9/1010}",0.676,1
"540","GO:0034097","response to cytokine",1.05,"1.75% {2/114}","0.5% {5/1010}",0.161,1
"541","GO:0009968","negative regulation of signal transduction",1.05,"0% {0/114}","0.89% {9/1010}",0.676,1
"542","GO:0060071","Wnt signaling pathway, planar cell polarity pathway",1.05,"0% {0/114}","1.39% {14/1010}",0.794,1
"543","GO:0051402","neuron apoptotic process",1.046,"0.88% {1/114}","0.69% {7/1010}",0.5,1
"544","GO:0036289","peptidyl-serine autophosphorylation",1.044,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"545","GO:0071364","cellular response to epidermal growth factor stimulus",1.038,"0% {0/114}","0.89% {9/1010}",0.676,1
"546","GO:0006695","cholesterol biosynthetic process",1.034,"1.75% {2/114}","0.59% {6/1010}",0.209,1
"547","GO:0008089","anterograde axonal transport",1.034,"0.88% {1/114}","0.79% {8/1010}",0.5,1
"548","GO:0009804","coumarin metabolic process",1.03,"0% {0/114}","0.3% {3/1010}",0.5,1
"549","GO:0006446","regulation of translational initiation",1.023,"0.88% {1/114}","0.59% {6/1010}",0.5,1
"550","GO:0046500","S-adenosylmethionine metabolic process",1.021,"0% {0/114}","0.3% {3/1010}",0.5,1
"551","GO:0055075","potassium ion homeostasis",1.013,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"552","GO:0048169","regulation of long-term neuronal synaptic plasticity",1.012,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"553","GO:0042743","hydrogen peroxide metabolic process",0.994,"1.75% {2/114}","0.2% {2/1010}",0.035,1
"554","GO:0050900","leukocyte migration",0.982,"0.88% {1/114}","1.19% {12/1010}",0.5,1
"555","GO:0010976","positive regulation of neuron projection development",0.978,"0.88% {1/114}","1.09% {11/1010}",0.5,1
"556","GO:0007259","receptor signaling pathway via JAK-STAT",0.975,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"557","GO:0042273","ribosomal large subunit biogenesis",0.975,"0% {0/114}","0.59% {6/1010}",0.559,1
"558","GO:0090090","negative regulation of canonical Wnt signaling pathway",0.972,"0.88% {1/114}","1.78% {18/1010}",0.628,1
"559","GO:1900273","positive regulation of long-term synaptic potentiation",0.971,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"560","GO:0009755","hormone-mediated signaling pathway",0.971,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"561","GO:0006091","generation of precursor metabolites and energy",0.965,"0% {0/114}","0.69% {7/1010}",0.604,1
"562","GO:0008637","apoptotic mitochondrial changes",0.96,"0.88% {1/114}","0.69% {7/1010}",0.5,1
"563","GO:0000077","DNA damage checkpoint",0.96,"0.88% {1/114}","0.79% {8/1010}",0.5,1
"564","GO:0042311","vasodilation",0.959,"1.75% {2/114}","0.3% {3/1010}",0.07,1
"565","GO:1901990","regulation of mitotic cell cycle phase transition",0.956,"0% {0/114}","1.78% {18/1010}",0.852,1
"566","GO:0006612","protein targeting to membrane",0.945,"0% {0/114}","0.79% {8/1010}",0.643,1
"567","GO:0016311","dephosphorylation",0.942,"0% {0/114}","1.19% {12/1010}",0.755,1
"568","GO:0019674","NAD metabolic process",0.94,"0% {0/114}","0.3% {3/1010}",0.5,1
"569","GO:0006351","transcription, DNA-templated",0.939,"0% {0/114}","0.79% {8/1010}",0.643,1
"570","GO:0071320","cellular response to cAMP",0.935,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"571","GO:0010243","response to organonitrogen compound",0.934,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"572","GO:0005977","glycogen metabolic process",0.932,"0% {0/114}","0.69% {7/1010}",0.604,1
"573","GO:0032760","positive regulation of tumor necrosis factor production",0.922,"1.75% {2/114}","0.2% {2/1010}",0.035,1
"574","GO:0070498","interleukin-1-mediated signaling pathway",0.91,"0% {0/114}","1.68% {17/1010}",0.839,1
"575","GO:0021860","pyramidal neuron development",0.91,"0% {0/114}","0.3% {3/1010}",0.5,1
"576","GO:0030534","adult behavior",0.896,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"577","GO:0048678","response to axon injury",0.892,"1.75% {2/114}","0.2% {2/1010}",0.035,1
"578","GO:0030198","extracellular matrix organization",0.889,"0% {0/114}","1.19% {12/1010}",0.755,1
"579","GO:0007205","protein kinase C-activating G protein-coupled receptor signaling pathway",0.888,"0% {0/114}","0.4% {4/1010}",0.5,1
"580","GO:0019433","triglyceride catabolic process",0.888,"0% {0/114}","0.4% {4/1010}",0.5,1
"581","GO:0046685","response to arsenic-containing substance",0.887,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"582","GO:0007190","activation of adenylate cyclase activity",0.883,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"583","GO:0022615","protein to membrane docking",0.882,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"584","GO:0006935","chemotaxis",0.881,"0% {0/114}","0.79% {8/1010}",0.643,1
"585","GO:0043433","negative regulation of DNA-binding transcription factor activity",0.881,"1.75% {2/114}","0.3% {3/1010}",0.07,1
"586","GO:0003333","amino acid transmembrane transport",0.877,"0% {0/114}","0.59% {6/1010}",0.559,1
"587","GO:0031669","cellular response to nutrient levels",0.874,"2.63% {3/114}","0% {0/1010}",1.31e-05,0.0205277
"588","GO:0006641","triglyceride metabolic process",0.869,"0% {0/114}","0.79% {8/1010}",0.643,1
"589","GO:0006121","mitochondrial electron transport, succinate to ubiquinone",0.866,"0% {0/114}","0.3% {3/1010}",0.5,1
"590","GO:0050690","regulation of defense response to virus by virus",0.865,"0% {0/114}","0.59% {6/1010}",0.559,1
"591","GO:0044320","cellular response to leptin stimulus",0.863,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"592","GO:1990036","calcium ion import into sarcoplasmic reticulum",0.861,"0% {0/114}","0.3% {3/1010}",0.5,1
"593","GO:0060766","negative regulation of androgen receptor signaling pathway",0.859,"1.75% {2/114}","0.2% {2/1010}",0.035,1
"594","GO:0046326","positive regulation of glucose import",0.857,"0.88% {1/114}","0.79% {8/1010}",0.5,1
"595","GO:0045599","negative regulation of fat cell differentiation",0.855,"1.75% {2/114}","0.2% {2/1010}",0.035,1
"596","GO:0000723","telomere maintenance",0.848,"0% {0/114}","1.39% {14/1010}",0.794,1
"597","GO:0018107","peptidyl-threonine phosphorylation",0.846,"0.88% {1/114}","1.39% {14/1010}",0.507,1
"598","GO:0006955","immune response",0.844,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"599","GO:0071422","succinate transmembrane transport",0.843,"0% {0/114}","0.5% {5/1010}",0.504,1
"600","GO:0030307","positive regulation of cell growth",0.841,"0% {0/114}","0.69% {7/1010}",0.604,1
"601","GO:0032091","negative regulation of protein binding",0.837,"0% {0/114}","1.49% {15/1010}",0.81,1
"602","GO:0034497","protein localization to phagophore assembly site",0.825,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"603","GO:0006406","mRNA export from nucleus",0.825,"0% {0/114}","1.29% {13/1010}",0.775,1
"604","GO:0006869","lipid transport",0.825,"0% {0/114}","1.39% {14/1010}",0.794,1
"605","GO:0000303","response to superoxide",0.824,"1.75% {2/114}","0.1% {1/1010}",0.011,1
"606","GO:0030511","positive regulation of transforming growth factor beta receptor signaling pathway",0.823,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"607","GO:0060348","bone development",0.821,"0% {0/114}","0.59% {6/1010}",0.559,1
"608","GO:0045669","positive regulation of osteoblast differentiation",0.82,"0% {0/114}","0.79% {8/1010}",0.643,1
"609","GO:1904851","positive regulation of establishment of protein localization to telomere",0.82,"0% {0/114}","0.4% {4/1010}",0.5,1
"610","GO:0006887","exocytosis",0.819,"0% {0/114}","1.49% {15/1010}",0.81,1
"611","GO:0050873","brown fat cell differentiation",0.818,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"612","GO:0035725","sodium ion transmembrane transport",0.816,"0% {0/114}","0.5% {5/1010}",0.504,1
"613","GO:0045597","positive regulation of cell differentiation",0.811,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"614","GO:0006605","protein targeting",0.807,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"615","GO:0010718","positive regulation of epithelial to mesenchymal transition",0.802,"1.75% {2/114}","0.59% {6/1010}",0.209,1
"616","GO:0051085","chaperone cofactor-dependent protein refolding",0.801,"0% {0/114}","0.89% {9/1010}",0.676,1
"617","GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway",0.8,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"618","GO:0046486","glycerolipid metabolic process",0.798,"0% {0/114}","0.4% {4/1010}",0.5,1
"619","GO:0046328","regulation of JNK cascade",0.795,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"620","GO:0016070","RNA metabolic process",0.792,"0% {0/114}","0.89% {9/1010}",0.676,1
"621","GO:0097746","regulation of blood vessel diameter",0.79,"0.88% {1/114}","0.69% {7/1010}",0.5,1
"622","GO:0032870","cellular response to hormone stimulus",0.789,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"623","GO:0046686","response to cadmium ion",0.784,"1.75% {2/114}","0.59% {6/1010}",0.209,1
"624","GO:0030433","ubiquitin-dependent ERAD pathway",0.781,"0% {0/114}","0.79% {8/1010}",0.643,1
"625","GO:0008016","regulation of heart contraction",0.78,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"626","GO:0006396","RNA processing",0.776,"0% {0/114}","0.89% {9/1010}",0.676,1
"627","GO:0051403","stress-activated MAPK cascade",0.774,"0% {0/114}","0.89% {9/1010}",0.676,1
"628","GO:0035973","aggrephagy",0.772,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"629","GO:0042130","negative regulation of T cell proliferation",0.768,"0% {0/114}","0.4% {4/1010}",0.5,1
"630","GO:0044344","cellular response to fibroblast growth factor stimulus",0.762,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"631","GO:0007569","cell aging",0.757,"2.63% {3/114}","0.4% {4/1010}",0.012,1
"632","GO:0008104","protein localization",0.753,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"633","GO:0008217","regulation of blood pressure",0.75,"1.75% {2/114}","0.59% {6/1010}",0.209,1
"634","GO:0090502","RNA phosphodiester bond hydrolysis, endonucleolytic",0.75,"0.88% {1/114}","0.79% {8/1010}",0.5,1
"635","GO:0007517","muscle organ development",0.746,"0.88% {1/114}","0.99% {10/1010}",0.5,1
"636","GO:0007611","learning or memory",0.743,"0.88% {1/114}","0.59% {6/1010}",0.5,1
"637","GO:0006750","glutathione biosynthetic process",0.741,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"638","GO:0006402","mRNA catabolic process",0.738,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"639","GO:0040018","positive regulation of multicellular organism growth",0.738,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"640","GO:0015911","long-chain fatty acid import across plasma membrane",0.735,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"641","GO:0006635","fatty acid beta-oxidation",0.734,"0% {0/114}","0.79% {8/1010}",0.643,1
"642","GO:0003007","heart morphogenesis",0.732,"1.75% {2/114}","0.3% {3/1010}",0.07,1
"643","GO:0045859","regulation of protein kinase activity",0.731,"1.75% {2/114}","0.4% {4/1010}",0.113,1
"644","GO:0000281","mitotic cytokinesis",0.729,"0% {0/114}","0.3% {3/1010}",0.5,1
"645","GO:0006606","protein import into nucleus",0.729,"0.88% {1/114}","0.99% {10/1010}",0.5,1
"646","GO:0055089","fatty acid homeostasis",0.728,"2.63% {3/114}","0.4% {4/1010}",0.012,1
"647","GO:0016079","synaptic vesicle exocytosis",0.728,"0% {0/114}","0.59% {6/1010}",0.559,1
"648","GO:0015866","ADP transport",0.724,"0% {0/114}","0.4% {4/1010}",0.5,1
"649","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.716,"0% {0/114}","0.5% {5/1010}",0.504,1
"650","GO:1900034","regulation of cellular response to heat",0.716,"1.75% {2/114}","1.29% {13/1010}",0.5,1
"651","GO:0040008","regulation of growth",0.713,"0% {0/114}","0.69% {7/1010}",0.604,1
"652","GO:0048146","positive regulation of fibroblast proliferation",0.713,"0% {0/114}","0.99% {10/1010}",0.706,1
"653","GO:0050890","cognition",0.708,"0% {0/114}","0.69% {7/1010}",0.604,1
"654","GO:0001937","negative regulation of endothelial cell proliferation",0.687,"0% {0/114}","0.69% {7/1010}",0.604,1
"655","GO:0015711","organic anion transport",0.684,"0% {0/114}","0.3% {3/1010}",0.5,1
"656","GO:0055088","lipid homeostasis",0.683,"0% {0/114}","0.5% {5/1010}",0.504,1
"657","GO:0007269","neurotransmitter secretion",0.677,"0% {0/114}","1.09% {11/1010}",0.732,1
"658","GO:0006836","neurotransmitter transport",0.676,"0% {0/114}","0.69% {7/1010}",0.604,1
"659","GO:0014003","oligodendrocyte development",0.673,"0% {0/114}","0.59% {6/1010}",0.559,1
"660","GO:0009411","response to UV",0.673,"0.88% {1/114}","0.79% {8/1010}",0.5,1
"661","GO:0048675","axon extension",0.669,"0% {0/114}","0.5% {5/1010}",0.504,1
"662","GO:0048872","homeostasis of number of cells",0.664,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"663","GO:0006936","muscle contraction",0.662,"0.88% {1/114}","0.69% {7/1010}",0.5,1
"664","GO:0006368","transcription elongation from RNA polymerase II promoter",0.658,"0% {0/114}","0.79% {8/1010}",0.643,1
"665","GO:0030001","metal ion transport",0.657,"0% {0/114}","0.3% {3/1010}",0.5,1
"666","GO:0071300","cellular response to retinoic acid",0.657,"1.75% {2/114}","0.5% {5/1010}",0.161,1
"667","GO:0045766","positive regulation of angiogenesis",0.655,"0.88% {1/114}","0.99% {10/1010}",0.5,1
"668","GO:0034380","high-density lipoprotein particle assembly",0.65,"0% {0/114}","0.4% {4/1010}",0.5,1
"669","GO:2000757","negative regulation of peptidyl-lysine acetylation",0.649,"2.63% {3/114}","0% {0/1010}",1.31e-05,0.0205277
"670","GO:0040015","negative regulation of multicellular organism growth",0.649,"0% {0/114}","0.4% {4/1010}",0.5,1
"671","GO:0002479","antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",0.648,"0% {0/114}","1.19% {12/1010}",0.755,1
"672","GO:0001974","blood vessel remodeling",0.646,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"673","GO:0038128","ERBB2 signaling pathway",0.646,"0.88% {1/114}","0.69% {7/1010}",0.5,1
"674","GO:2000480","negative regulation of cAMP-dependent protein kinase activity",0.643,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"675","GO:0043087","regulation of GTPase activity",0.641,"1.75% {2/114}","0.5% {5/1010}",0.161,1
"676","GO:1990575","mitochondrial L-ornithine transmembrane transport",0.636,"0% {0/114}","0.3% {3/1010}",0.5,1
"677","GO:0001541","ovarian follicle development",0.636,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"678","GO:0060048","cardiac muscle contraction",0.632,"1.75% {2/114}","0.4% {4/1010}",0.113,1
"679","GO:0032509","endosome transport via multivesicular body sorting pathway",0.631,"0% {0/114}","0.4% {4/1010}",0.5,1
"680","GO:0007059","chromosome segregation",0.631,"0% {0/114}","0.99% {10/1010}",0.706,1
"681","GO:0043200","response to amino acid",0.63,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"682","GO:0001933","negative regulation of protein phosphorylation",0.63,"0.88% {1/114}","0.89% {9/1010}",0.5,1
"683","GO:0008033","tRNA processing",0.629,"0% {0/114}","0.69% {7/1010}",0.604,1
"684","GO:0030334","regulation of cell migration",0.627,"0.88% {1/114}","0.79% {8/1010}",0.5,1
"685","GO:1904646","cellular response to amyloid-beta",0.618,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"686","GO:0030879","mammary gland development",0.618,"0% {0/114}","0.5% {5/1010}",0.504,1
"687","GO:1901687","glutathione derivative biosynthetic process",0.616,"0% {0/114}","0.3% {3/1010}",0.5,1
"688","GO:0034354","'de novo' NAD biosynthetic process from tryptophan",0.613,"0% {0/114}","0.3% {3/1010}",0.5,1
"689","GO:0019369","arachidonic acid metabolic process",0.613,"0% {0/114}","0.79% {8/1010}",0.643,1
"690","GO:0050765","negative regulation of phagocytosis",0.61,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"691","GO:0044598","doxorubicin metabolic process",0.609,"0% {0/114}","0.69% {7/1010}",0.604,1
"692","GO:0007030","Golgi organization",0.607,"0% {0/114}","0.59% {6/1010}",0.559,1
"693","GO:0031145","anaphase-promoting complex-dependent catabolic process",0.607,"0% {0/114}","1.29% {13/1010}",0.775,1
"694","GO:0006986","response to unfolded protein",0.606,"0.88% {1/114}","0.69% {7/1010}",0.5,1
"695","GO:0006405","RNA export from nucleus",0.605,"0% {0/114}","0.89% {9/1010}",0.676,1
"696","GO:0050708","regulation of protein secretion",0.604,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"697","GO:0010212","response to ionizing radiation",0.604,"0% {0/114}","0.4% {4/1010}",0.5,1
"698","GO:0032147","activation of protein kinase activity",0.603,"1.75% {2/114}","0.89% {9/1010}",0.35,1
"699","GO:0070374","positive regulation of ERK1 and ERK2 cascade",0.602,"0.88% {1/114}","1.78% {18/1010}",0.628,1
"700","GO:0006346","DNA methylation-dependent heterochromatin assembly",0.602,"1.75% {2/114}","0.1% {1/1010}",0.011,1
"701","GO:0030036","actin cytoskeleton organization",0.599,"0% {0/114}","0.79% {8/1010}",0.643,1
"702","GO:0033344","cholesterol efflux",0.598,"0% {0/114}","0.5% {5/1010}",0.504,1
"703","GO:0043085","positive regulation of catalytic activity",0.597,"0.88% {1/114}","1.09% {11/1010}",0.5,1
"704","GO:0018401","peptidyl-proline hydroxylation to 4-hydroxy-L-proline",0.596,"0% {0/114}","0.3% {3/1010}",0.5,1
"705","GO:0015908","fatty acid transport",0.595,"0% {0/114}","0.79% {8/1010}",0.643,1
"706","GO:0001889","liver development",0.594,"1.75% {2/114}","1.49% {15/1010}",0.5,1
"707","GO:0035735","intraciliary transport involved in cilium assembly",0.593,"0% {0/114}","1.19% {12/1010}",0.755,1
"708","GO:0071380","cellular response to prostaglandin E stimulus",0.592,"1.75% {2/114}","0.2% {2/1010}",0.035,1
"709","GO:0048812","neuron projection morphogenesis",0.591,"0% {0/114}","1.19% {12/1010}",0.755,1
"710","GO:0006491","N-glycan processing",0.588,"0% {0/114}","0.4% {4/1010}",0.5,1
"711","GO:0060271","cilium assembly",0.587,"0% {0/114}","0.89% {9/1010}",0.676,1
"712","GO:0042574","retinal metabolic process",0.586,"0% {0/114}","0.4% {4/1010}",0.5,1
"713","GO:0043536","positive regulation of blood vessel endothelial cell migration",0.585,"0.88% {1/114}","0.69% {7/1010}",0.5,1
"714","GO:0060397","growth hormone receptor signaling pathway via JAK-STAT",0.584,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"715","GO:0007257","activation of JUN kinase activity",0.583,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"716","GO:0070126","mitochondrial translational termination",0.582,"0% {0/114}","0.59% {6/1010}",0.559,1
"717","GO:0018345","protein palmitoylation",0.582,"0% {0/114}","0.59% {6/1010}",0.559,1
"718","GO:0051602","response to electrical stimulus",0.571,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"719","GO:0070536","protein K63-linked deubiquitination",0.57,"0% {0/114}","0.4% {4/1010}",0.5,1
"720","GO:0051965","positive regulation of synapse assembly",0.569,"0% {0/114}","0.3% {3/1010}",0.5,1
"721","GO:0007565","female pregnancy",0.569,"0.88% {1/114}","0.69% {7/1010}",0.5,1
"722","GO:0007131","reciprocal meiotic recombination",0.569,"0% {0/114}","0.5% {5/1010}",0.504,1
"723","GO:0038061","NIK/NF-kappaB signaling",0.568,"0% {0/114}","1.68% {17/1010}",0.839,1
"724","GO:0038096","Fc-gamma receptor signaling pathway involved in phagocytosis",0.567,"0.88% {1/114}","0.79% {8/1010}",0.5,1
"725","GO:0071257","cellular response to electrical stimulus",0.565,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"726","GO:0042274","ribosomal small subunit biogenesis",0.563,"0% {0/114}","0.69% {7/1010}",0.604,1
"727","GO:0015986","ATP synthesis coupled proton transport",0.561,"0% {0/114}","0.59% {6/1010}",0.559,1
"728","GO:0010466","negative regulation of peptidase activity",0.56,"0% {0/114}","0.4% {4/1010}",0.5,1
"729","GO:0071277","cellular response to calcium ion",0.554,"1.75% {2/114}","0.4% {4/1010}",0.113,1
"730","GO:0008543","fibroblast growth factor receptor signaling pathway",0.554,"0% {0/114}","1.09% {11/1010}",0.732,1
"731","GO:0008584","male gonad development",0.554,"0.88% {1/114}","1.19% {12/1010}",0.5,1
"732","GO:0023014","signal transduction by protein phosphorylation",0.554,"0% {0/114}","0.69% {7/1010}",0.604,1
"733","GO:0048738","cardiac muscle tissue development",0.553,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"734","GO:0071480","cellular response to gamma radiation",0.552,"0% {0/114}","0.99% {10/1010}",0.706,1
"735","GO:0036109","alpha-linolenic acid metabolic process",0.549,"0% {0/114}","0.3% {3/1010}",0.5,1
"736","GO:0035435","phosphate ion transmembrane transport",0.548,"0% {0/114}","0.5% {5/1010}",0.504,1
"737","GO:0042098","T cell proliferation",0.547,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"738","GO:0001764","neuron migration",0.545,"0% {0/114}","0.59% {6/1010}",0.559,1
"739","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.543,"0% {0/114}","0.3% {3/1010}",0.5,1
"740","GO:0006839","mitochondrial transport",0.543,"0% {0/114}","0.5% {5/1010}",0.504,1
"741","GO:0048016","inositol phosphate-mediated signaling",0.543,"0% {0/114}","0.3% {3/1010}",0.5,1
"742","GO:0042759","long-chain fatty acid biosynthetic process",0.542,"0% {0/114}","0.5% {5/1010}",0.504,1
"743","GO:0001890","placenta development",0.538,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"744","GO:0018279","protein N-linked glycosylation via asparagine",0.537,"0% {0/114}","0.4% {4/1010}",0.5,1
"745","GO:2000811","negative regulation of anoikis",0.536,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"746","GO:0051246","regulation of protein metabolic process",0.536,"0% {0/114}","0.3% {3/1010}",0.5,1
"747","GO:0030512","negative regulation of transforming growth factor beta receptor signaling pathway",0.535,"1.75% {2/114}","0.99% {10/1010}",0.393,1
"748","GO:0000423","mitophagy",0.535,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"749","GO:0030900","forebrain development",0.534,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"750","GO:0042220","response to cocaine",0.533,"1.75% {2/114}","0.4% {4/1010}",0.113,1
"751","GO:0008277","regulation of G protein-coupled receptor signaling pathway",0.53,"0% {0/114}","0.5% {5/1010}",0.504,1
"752","GO:0006112","energy reserve metabolic process",0.53,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"753","GO:0002576","platelet degranulation",0.529,"0.88% {1/114}","0.89% {9/1010}",0.5,1
"754","GO:0090305","nucleic acid phosphodiester bond hydrolysis",0.529,"0% {0/114}","1.29% {13/1010}",0.775,1
"755","GO:0032956","regulation of actin cytoskeleton organization",0.528,"0.88% {1/114}","1.09% {11/1010}",0.5,1
"756","GO:0048013","ephrin receptor signaling pathway",0.526,"0% {0/114}","0.59% {6/1010}",0.559,1
"757","GO:0046039","GTP metabolic process",0.525,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"758","GO:0009052","pentose-phosphate shunt, non-oxidative branch",0.524,"0% {0/114}","0.3% {3/1010}",0.5,1
"759","GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage",0.524,"1.75% {2/114}","0.79% {8/1010}",0.305,1
"760","GO:0006883","cellular sodium ion homeostasis",0.523,"0% {0/114}","0.3% {3/1010}",0.5,1
"761","GO:0016242","negative regulation of macroautophagy",0.518,"1.75% {2/114}","0.3% {3/1010}",0.07,1
"762","GO:1902017","regulation of cilium assembly",0.512,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"763","GO:0042026","protein refolding",0.512,"0% {0/114}","0.69% {7/1010}",0.604,1
"764","GO:0008272","sulfate transport",0.51,"0% {0/114}","0.3% {3/1010}",0.5,1
"765","GO:0030855","epithelial cell differentiation",0.51,"0% {0/114}","0.4% {4/1010}",0.5,1
"766","GO:0009617","response to bacterium",0.509,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"767","GO:0043627","response to estrogen",0.509,"0% {0/114}","0.79% {8/1010}",0.643,1
"768","GO:0022400","regulation of rhodopsin mediated signaling pathway",0.509,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"769","GO:0070268","cornification",0.507,"0% {0/114}","0.4% {4/1010}",0.5,1
